Sentence,Technique,Span,article_id,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"""How many hate preachers are living in this country?","Name_Calling,Labeling",hate preachers,111111112,,,,,,,,,,,,,,,
"""I am terrified for the Jewish people.",Loaded_Language,terrified,698018235,,,,,,,,,,,,,,,
"""I barely put a million bucks into this and I got you the Second Amendment forever,"" he told The Daily Wire in a phone interview.","Exaggeration,Minimisation",I barely put a million bucks into this and I got you the Second Amendment forever,771879020,,,,,,,,,,,,,,,
"""I don’t care who you are, determine the scope and the parameters of an investigation.",Loaded_Language,I don’t care who you are,788900262,,,,,,,,,,,,,,,
"""I don’t spend a lot of time, I buy Final Call when I see them.
I’ve been to Saviour’s Day, I’ve read, I’ve been a fan of Elijah Muhammad, so those are my positions, but I do disagree with the notion that white people are devils.”","Whataboutism,Straw_Men,Red_Herring","""I don’t spend a lot of time, I buy Final Call when I see them.
I’ve been to Saviour’s Day, I’ve read, I’ve been a fan of Elijah Muhammad, so those are my positions, but I do disagree with the notion that white people are devils.”",740356006,,,,,,,,,,,,,,,
"""I have a sense that things are moving forward and I have faith in our president,” Susie Hammond, the wife and mother of the imprisoned ranchers, told The Oregonian last month.",Slogans,I have faith in our president,770877978,,,,,,,,,,,,,,,
"""I have a sense that things are moving forward and I have faith in our president,” Susie Hammond, the wife and mother of the imprisoned ranchers, told The Oregonian last month.",Flag-Waving,our president,770877978,,,,,,,,,,,,,,,
"""I learned he's a very talented man.""","Name_Calling,Labeling",very talented man,111111131,,,,,,,,,,,,,,,
"""I support my President and, if you don’t, let’s have a conversation about it instead of ripping my hat off,” he told the station.",Slogans,I support my President,769682854,,,,,,,,,,,,,,,
"""I think he's an extraordinary man – I think he's a man of great intellect, as I've been telling you, and he has an unblemished record,"" Trump said.",Appeal_to_Authority,"I think he's an extraordinary man – I think he's a man of great intellect, as I've been telling you, and he has an unblemished record",788816478,,,,,,,,,,,,,,,
"""I thought my life was over,"" Wilson said after his attorneys told him he didn't fair well going up against the government.","Exaggeration,Minimisation",I thought my life was over,771879020,,,,,,,,,,,,,,,
"""I want to get our soldiers out.",Flag-Waving,our soldiers,111111131,,,,,,,,,,,,,,,
"""I worry about this country.",Flag-Waving,I worry about this country,788900262,,,,,,,,,,,,,,,
"""I'm still racking my brain for what did I miss.",Loaded_Language,racking my brain,727128296,,,,,,,,,,,,,,,
"""I've seen all kinds of people.
There were no tells,"" Haig said of Paddock.",Thought-terminating_Cliches,"I've seen all kinds of people.
There were no tells",727736557,,,,,,,,,,,,,,,
"""If we want to talk to North Korea now, the possible end for the nuclear deal with Iran would jeopardize the credibility of such treaties,"" Reuters quoted German Foreign Minister Sigmar Gabriel as saying.",Appeal_to_fear-prejudice,"""If we want to talk to North Korea now, the possible end for the nuclear deal with Iran would jeopardize the credibility of such treaties",699478811,,,,,,,,,,,,,,,
"""If you'll permit me, what the Church needs now is more hatred!",Loaded_Language,the Church needs now is more hatred,780414700,,,,,,,,,,,,,,,
"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""","Whataboutism,Straw_Men,Red_Herring","politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""",111111113,,,,,,,,,,,,,,,
"""It will be an irrevocable part of political life that guns are downloadable, and we helped to do that.""","Exaggeration,Minimisation","It will be an irrevocable part of political life that guns are downloadable, and we helped to do that",771879020,,,,,,,,,,,,,,,
"""It would not be my first option to bring in the military, but I am prepared to do whatever is necessary to make sure that serious, organized crime is stamped out,"" Lofven told news agency TT.",Loaded_Language,stamped out,723501118,,,,,,,,,,,,,,,
"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.","Name_Calling,Labeling",so-called land of democracy and freedom of speech,111111112,,,,,,,,,,,,,,,
"""Many, all too many, of them want to overwhelm German values, and European values in general, with sharia values.",Appeal_to_fear-prejudice,"them want to overwhelm German values, and European values in general, with sharia values",721890296,,,,,,,,,,,,,,,
"""Many, all too many, of them want to overwhelm German values, and European values in general, with sharia values.",Repetition,"Many, all too many",721890296,,,,,,,,,,,,,,,
"""One day, one of the killer's sisters pushed my sister down the stairs, and the next time she called her a dirty Jew,"" he described.","Name_Calling,Labeling",dirty Jew,771406408,,,,,,,,,,,,,,,
"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Appeal_to_fear-prejudice,One woman (was) screaming through my door that I should be killed and I should die,727634031,,,,,,,,,,,,,,,
"""Our story is well known and there's no point reminding you of it, except to tell you of the horror of having experienced this abuse and how I wanted to kill myself.""",Loaded_Language,horror of having experienced this abuse and how I wanted to kill myself,728343601,,,,,,,,,,,,,,,
"""People are going to be very impressed.",Black-and-White_Fallacy,People are going to be very impressed,111111131,,,,,,,,,,,,,,,
"""Recently I’ve been made aware of what I believe to be credible evidence regarding potential terrorist infiltration through the southern border regarding this incident,"" Perry said.",Repetition,credible evidence,723823436,,,,,,,,,,,,,,,
"""Sickness.
Horror that this man would do something like that.""",Loaded_Language,"Sickness.
Horror",727634031,,,,,,,,,,,,,,,
"""So what if this code is a gun?” The Department of Justice's surprising settlement, confirmed in court documents earlier this month, essentially surrenders to that argument.",Thought-terminating_Cliches,So what if this code is a gun,771879020,,,,,,,,,,,,,,,
"""Something’s not adding up.""",Doubt,"Something’s not adding up.""",723823436,,,,,,,,,,,,,,,
"""That New Year's flight past MU69 will be the farthest planetary encounter in history, happening one billion miles beyond the Pluto system - which New Horizons famously explored in July 2015,"" said NASA.","Exaggeration,Minimisation",the farthest planetary encounter in history,729549972,,,,,,,,,,,,,,,
"""That means that Madagascar could be affected more, and not only that, it could even spill over into neighbouring countries and beyond,"" he warned.",Appeal_to_fear-prejudice,it could even spill over into neighbouring countries and beyond,111111111,,,,,,,,,,,,,,,
"""The DNA of our culture is preserved.
This is the first pillar in the internet gun culture of tomorrow, and it is permanent.""",Flag-Waving,"The DNA of our culture is preserved.
This is the first pillar in the internet gun culture of tomorrow, and it is permanent",771879020,,,,,,,,,,,,,,,
"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court.","Name_Calling,Labeling",The Kate Steinle killer,111111113,,,,,,,,,,,,,,,
"""The Obama administration misled the American people and Congress because they were desperate to get a deal with Iran,"" said Sen.",Flag-Waving,American people,762200179,,,,,,,,,,,,,,,
"""The document is very good and completely explains the meaning of chapter VIII of Amoris Laetitia.
There are no other interpretations.""",Appeal_to_Authority,"""The document is very good and completely explains the meaning of chapter VIII of Amoris Laetitia.
There are no other interpretations.""",712382330,,,,,,,,,,,,,,,
"""The next transmission could be more pronounced or stronger,"" WHO Director-General Tedros Adhanom Ghebreyesus told reporters in Geneva, insisting that ""the issue is serious.""",Appeal_to_Authority,The next transmission could be more pronounced or stronger,111111111,,,,,,,,,,,,,,,
"""The world will see a major change.""","Exaggeration,Minimisation",The world,111111131,,,,,,,,,,,,,,,
"""There is no Republican Party.
There's a Trump party,"" John Boehner told a Mackinac, Michigan, gathering of the GOP faithful last week.",Black-and-White_Fallacy,"""There is no Republican Party.
There's a Trump party,""",761610997,,,,,,,,,,,,,,,
"""There's over 800 significant public safety threat criminals ... that we are unable to locate because of that warning, so that community's a lot less safe than it would've been.""",Appeal_to_Authority,"community's a lot less safe than it would've been.""",735090638,,,,,,,,,,,,,,,
"""This country is being ripped apart here, and we've got to make sure we do due diligence,"" Flake said.",Flag-Waving,"This country is being ripped apart here, and we've got to make sure we do due diligence",790720480,,,,,,,,,,,,,,,
"""This country is being ripped apart here, and we've got to make sure we do due diligence,"" Flake said.",Loaded_Language,is being ripped apart,790720480,,,,,,,,,,,,,,,
"""This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,"" Schiff added.","Name_Calling,Labeling",a President who cares about nothing about the country and everything about his narrow self-interest,111111124,,,,,,,,,,,,,,,
"""This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,"" Schiff added.",Doubt,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,111111124,,,,,,,,,,,,,,,
"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday.",Causal_Oversimplification,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,""",111111113,,,,,,,,,,,,,,,
"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday.",Loaded_Language,alien,111111113,,,,,,,,,,,,,,,
"""Today, we had a historic meeting and decided to leave the past behind,"" Kim said through a translator.",Repetition,historic,111111131,,,,,,,,,,,,,,,
"""We have to stop demonizing people and realize the biggest terror threat in this country is white men, most of them radicalized to the right, and we have to start doing something about them,” Lemon said.","Exaggeration,Minimisation",the biggest terror threat in this country is white men,999000135,,,,,,,,,,,,,,,
"""We have to stop demonizing people and realize the biggest terror threat in this country is white men, most of them radicalized to the right, and we have to start doing something about them,” Lemon said.",Loaded_Language,demonizing people,999000135,,,,,,,,,,,,,,,
"""We have to stop demonizing people and realize the biggest terror threat in this country is white men, most of them radicalized to the right, and we have to start doing something about them,” Lemon said.
“There is no travel ban on them… there is no white guy ban.”",Appeal_to_fear-prejudice,"We have to stop demonizing people and realize the biggest terror threat in this country is white men, most of them radicalized to the right, and we have to start doing something about them,” Lemon said.
“There is no travel ban on them… there is no white guy ban",999000135,,,,,,,,,,,,,,,
"""What has the NRA done for you lately?""",Doubt,What has the NRA done for you lately,771879020,,,,,,,,,,,,,,,
"""What you want to do is destroy this guy's life, hold this seat open, and hope you win in 2020,"" Graham blasted Democrat Senators on the committee.","Exaggeration,Minimisation",What you want to do is destroy this guy's life,790667730,,,,,,,,,,,,,,,
"""What you want to do is destroy this guy's life, hold this seat open, and hope you win in 2020,"" Graham blasted Democrat Senators on the committee.",Causal_Oversimplification,"What you want to do is destroy this guy's life, hold this seat open, and hope you win in 2020",790667730,,,,,,,,,,,,,,,
"""With respect to some of these materials, I have been previously informed by the FBI and Justice Department that they would consider their release a red line that must not be crossed as they may compromise sources and methods.",Loaded_Language,a red line that must not be crossed,111111124,,,,,,,,,,,,,,,
"""Working together, we'll get it taken care of,"" Trump said.",Slogans,"Working together, we'll get it taken care of",111111131,,,,,,,,,,,,,,,
"""Your agencies' review, and any communication with the White House on the substance of the material, should not proceed further until you have briefed the Gang of Eight in person.""","Name_Calling,Labeling",the Gang of Eight,788173482,,,,,,,,,,,,,,,
"""[Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,"" Schiff said.",Causal_Oversimplification,Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,111111124,,,,,,,,,,,,,,,
"#Gaza #Palestine #Israel.” Challenged about this tweet much more recently, she doubled down and attacked the man who called attention to the tweet: “Drawing attention to the apartheid Israeli regime is far from hating Jews.",Loaded_Language,she doubled down and attacked,999000184,,,,,,,,,,,,,,,
#StopTheSynod.,Slogans,#StopTheSynod,776049384,,,,,,,,,,,,,,,
#Update: Teen who made national news after having #MAGA hat stolen at a San Antonio fast food restaurant just got this in the mail.,Repetition,#MAGA,771546417,,,,,,,,,,,,,,,
"(A tyrant, moreover, who has ascended to the papacy in a manner reminiscent of the ascension of the corrupt Benedict IX, another “disgrace to the Chair of Peter,” following the machinations of a Roman cabal, as I discuss below.)","Name_Calling,Labeling",disgrace to the Chair of Peter,788056108,,,,,,,,,,,,,,,
"(A tyrant, moreover, who has ascended to the papacy in a manner reminiscent of the ascension of the corrupt Benedict IX, another “disgrace to the Chair of Peter,” following the machinations of a Roman cabal, as I discuss below.)","Name_Calling,Labeling",the corrupt Benedict IX,788056108,,,,,,,,,,,,,,,
(Among his more infamous comments is his 1984 description of Adolf Hitler as “a very great man.”),"Bandwagon,Reductio_ad_hitlerum",Adolf Hitler as “a very great man,111111135,,,,,,,,,,,,,,,
(Among his more infamous comments is his 1984 description of Adolf Hitler as “a very great man.”),"Exaggeration,Minimisation",his 1984 description of Adolf Hitler as “a very great man,111111135,,,,,,,,,,,,,,,
"(CNN) The government of the Democratic Republic of Congo declared an outbreak of Ebola hemorrhagic fever, a rare and deadly disease, on Tuesday, the World Health Organization reported.",Appeal_to_fear-prejudice,deadly,754131438,,,,,,,,,,,,,,,
(Deuteronomy 25:1; Proverbs 17:15) Absolutely not!,Loaded_Language,Absolutely not,773520636,,,,,,,,,,,,,,,
"(Don’t forget, no question is asked in a papal interview without being thoroughly vetted ahead of time.",Loaded_Language,thoroughly vetted,729578579,,,,,,,,,,,,,,,
"(Faber was nominated by President George H.W.
Bush.)","Whataboutism,Straw_Men,Red_Herring","(Faber was nominated by President George H.W.
Bush.)",111111132,,,,,,,,,,,,,,,
"(It might be argued, however, that if the criminal is thought to have to have totally terminated his victim, why not do the same to him?)","Exaggeration,Minimisation",totally terminated,777488669,,,,,,,,,,,,,,,
(Psalm 40:8; Romans 3:31) Of course not!,Loaded_Language,Of course not,773520636,,,,,,,,,,,,,,,
(See Jamie's video on this whole surreal affair HERE).,Loaded_Language,surreal affair,787002327,,,,,,,,,,,,,,,
(See my book The Kennedy Autopsy.),Appeal_to_Authority,See my book The Kennedy Autopsy.),703821117,,,,,,,,,,,,,,,
"(…) You are welcoming into your country an ever increasing number of Muslims.
You are in danger as well.
You must make strong and courageous decisions (…).",Appeal_to_fear-prejudice,"You are welcoming into your country an ever increasing number of Muslims.
You are in danger as well.
You must make strong and courageous decisions",722512241,,,,,,,,,,,,,,,
"), that he “has a history” of “innuendo and conspiracy theories” (a gratuitous assertion unsupported by evidence of falsity), that he allegedly quashed an investigation of Archbishop John Nienstedt and ordered evidence destroyed (an allegation Viganò has immediately and categorically denied with conclusive supporting documents, but in any event a tuo quoque fallacy) and that Allen has “the impression that all this was orchestrated with a political agenda in mind” (the same “conspiracy theory” mentality he gratuitously attributes to Viganò).",Loaded_Language,allegedly quashed,783702663,,,,,,,,,,,,,,,
"), that he “has a history” of “innuendo and conspiracy theories” (a gratuitous assertion unsupported by evidence of falsity), that he allegedly quashed an investigation of Archbishop John Nienstedt and ordered evidence destroyed (an allegation Viganò has immediately and categorically denied with conclusive supporting documents, but in any event a tuo quoque fallacy) and that Allen has “the impression that all this was orchestrated with a political agenda in mind” (the same “conspiracy theory” mentality he gratuitously attributes to Viganò).",Doubt,he “has a history” of “innuendo and conspiracy theories,783702663,,,,,,,,,,,,,,,
*Please note that the below video contains racial slurs and could be considered violent to some.,Loaded_Language,racial slurs,771546417,,,,,,,,,,,,,,,
"- Archbishop Allen Vigneron of Detroit, Michigan issued a statement calling Viganò’s account “another daunting challenge to our confidence in the reliability of the Church’s leadership, during a summer of devastating news regarding clergy sexual abuse and infidelity.” (The statement has since apparently been scrubbed from the diocesan website.)",Appeal_to_Authority,"issued a statement calling Viganò’s account “another daunting challenge to our confidence in the reliability of the Church’s leadership, during a summer of devastating news regarding clergy sexual abuse and infidelity",783702663,,,,,,,,,,,,,,,
"- Archbishop Allen Vigneron of Detroit, Michigan issued a statement calling Viganò’s account “another daunting challenge to our confidence in the reliability of the Church’s leadership, during a summer of devastating news regarding clergy sexual abuse and infidelity.” (The statement has since apparently been scrubbed from the diocesan website.)",Loaded_Language,a summer of devastating news,783702663,,,,,,,,,,,,,,,
"- Bishop Athanasius Schneider declares: “Archbishop Viganò confirmed his statement by a sacred oath invoking the name of God.
There is, therefore, no reasonable and plausible cause to doubt the truth content of the document of Archbishop Carlo Maria Viganò.”",Appeal_to_Authority,"Bishop Athanasius Schneider declares: “Archbishop Viganò confirmed his statement by a sacred oath invoking the name of God.
There is, therefore, no reasonable and plausible cause to doubt the truth content of the document of Archbishop Carlo Maria Viganò",783702663,,,,,,,,,,,,,,,
"- Bishop Thomas Olmsted of Phoenix, Arizona, issued a statement affirming that he has known Viganò for 39 years, has “always known and respected him as a man of truthfulness, faith and integrity” and that his testimony should “be taken seriously by all…”",Appeal_to_Authority,"issued a statement affirming that he has known Viganò for 39 years, has “always known and respected him as a man of truthfulness, faith and integrity” and that his testimony should “be taken seriously by all",783702663,,,,,,,,,,,,,,,
- Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,"Exaggeration,Minimisation",must be totally taken to heart,783702663,,,,,,,,,,,,,,,
- Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Appeal_to_Authority,Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church,783702663,,,,,,,,,,,,,,,
"- [And just two days ago, Archbishop Salvatore Cordileone of San Francisco wrote a letter to his faithful which ""speaks to Vigano's integrity and sincere love of the Church.""]",Appeal_to_Authority,"Archbishop Salvatore Cordileone of San Francisco wrote a letter to his faithful which ""speaks to Vigano's integrity and sincere love of the Church",783702663,,,,,,,,,,,,,,,
"....In addition to stopping all payments to these countries, which seem to have almost no control over their population, I must, in the strongest of terms, ask Mexico to stop this onslaught - and if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!..","Exaggeration,Minimisation",the strongest,795703371,,,,,,,,,,,,,,,
"....In addition to stopping all payments to these countries, which seem to have almost no control over their population, I must, in the strongest of terms, ask Mexico to stop this onslaught - and if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!..",Loaded_Language,onslaught,795703371,,,,,,,,,,,,,,,
"....In addition to stopping all payments to these countries, which seem to have almost no control over their population, I must, in the strongest of terms, ask Mexico to stop this onslaught - and if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!..",Black-and-White_Fallacy,if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER,795703371,,,,,,,,,,,,,,,
"....The assault on our country at our Southern Border, including the Criminal elements and DRUGS pouring in, is far more important to me, as President, than Trade or the USMCA.",Loaded_Language,assault,795703371,,,,,,,,,,,,,,,
"..This is a terrible situation and Attorney General Jeff Sessions should stop this Rigged Witch Hunt right now, before it continues to stain our country any further.",Repetition,Rigged Witch Hunt,776368676,,,,,,,,,,,,,,,
"..This is a terrible situation and Attorney General Jeff Sessions should stop this Rigged Witch Hunt right now, before it continues to stain our country any further.",Loaded_Language,stain,776368676,,,,,,,,,,,,,,,
"..This is a terrible situation and Attorney General Jeff Sessions should stop this Rigged Witch Hunt right now, before it continues to stain our country any further.",Flag-Waving,before it continues to stain our country any further,776368676,,,,,,,,,,,,,,,
"18 In order to obtain juridical autonomy for a monastery of nuns, it must presuppose a real autonomy of life, that is, the ability to manage the life of the monastery in all its dimensions (vocational, formative, governmental, relational, liturgical, economic ...).",Repetition,autonomy,758386255,,,,,,,,,,,,,,,
"18 In order to obtain juridical autonomy for a monastery of nuns, it must presuppose a real autonomy of life, that is, the ability to manage the life of the monastery in all its dimensions (vocational, formative, governmental, relational, liturgical, economic ...).",Repetition,autonomy,758386255,,,,,,,,,,,,,,,
3-D-printed guns put carnage a click away,Loaded_Language,put carnage a click away,775448623,,,,,,,,,,,,,,,
3D printers make the already extremely difficult job of controlling access to guns practically impossible.,"Exaggeration,Minimisation",make the already extremely difficult job of controlling access to guns practically impossible,773748383,,,,,,,,,,,,,,,
"43 Autonomy of life, a constant prerequisite for maintaining juridical autonomy, must be constantly verified by the Federal President who, when in her judgment a monastery lacks autonomy of life, must inform the Holy See in view of the nomination of an ad hoc commission.",Repetition,autonomy,758386255,,,,,,,,,,,,,,,
"43 Autonomy of life, a constant prerequisite for maintaining juridical autonomy, must be constantly verified by the Federal President who, when in her judgment a monastery lacks autonomy of life, must inform the Holy See in view of the nomination of an ad hoc commission.",Repetition,autonomy,758386255,,,,,,,,,,,,,,,
"43 Autonomy of life, a constant prerequisite for maintaining juridical autonomy, must be constantly verified by the Federal President who, when in her judgment a monastery lacks autonomy of life, must inform the Holy See in view of the nomination of an ad hoc commission.",Repetition,Autonomy,758386255,,,,,,,,,,,,,,,
"55 Affiliation is configured as a juridical support that must assess whether the inability to manage the life of the autonomous monastery in all its dimensions is only temporary or is irreversible, helping the community of the affiliated monastery to overcome difficulties or to put in place what is necessary to bring about the suppression of this monastery.",Repetition,autonomous,758386255,,,,,,,,,,,,,,,
"58 dead, hundreds wounded, the savagery of the Vegas attack is unspeakable, and still the incompetent, clueless authorities know nothing.",Doubt,"still the incompetent, clueless authorities know nothing",702077783,,,,,,,,,,,,,,,
"58 dead, hundreds wounded, the savagery of the Vegas attack is unspeakable, and still the incompetent, clueless authorities know nothing.","Name_Calling,Labeling","incompetent, clueless authorities",702077783,,,,,,,,,,,,,,,
"67 Affiliation [with another monastery, appointed by the Vatican] can be an opportunity for recovery and rebirth when autonomy of life is partially compromised.",Repetition,autonomy,758386255,,,,,,,,,,,,,,,
"87 is the average Indonesian IQ , and note that average includes the higher average Chinese, so the locals really are a dull lot.","Name_Calling,Labeling",a dull lot,711716996,,,,,,,,,,,,,,,
"87 is the average Indonesian IQ , and note that average includes the higher average Chinese, so the locals really are a dull lot.",Loaded_Language,so the locals really are a dull lot,711716996,,,,,,,,,,,,,,,
8:7).” It is an act of love to hate sin and to call others to turn away from sin.,Causal_Oversimplification,It is an act of love to hate sin and to call others to turn away from sin,780414700,,,,,,,,,,,,,,,
"9: 22,27), but now with the possibility of eternal bliss in heaven.",Loaded_Language,eternal bliss in heaven,777488669,,,,,,,,,,,,,,,
"@ Theresa_May, don’t focus on me, focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom.","Whataboutism,Straw_Men,Red_Herring","don’t focus on me, focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom",711622457,,,,,,,,,,,,,,,
"@ Theresa_May, don’t focus on me, focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom.",Loaded_Language,destructive Radical Islamic Terrorism,711622457,,,,,,,,,,,,,,,
"@Theresa_May, don’t focus on me, focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom.","Whataboutism,Straw_Men,Red_Herring","don’t focus on me, focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom",711622457,,,,,,,,,,,,,,,
"A 2009 article in the Pakistani publication Dawn, headlined “Influential expat shields father from long arm of law,” said Awan’s father was facing criminal fraud charges involving a land deal, but Awan used political connections to pressure the police into targeting the alleged victims instead.","Name_Calling,Labeling",Influential expat,762206044,,,,,,,,,,,,,,,
A Democratic IT aide who alleged that Imran solicited a bribe from him told TheDCNF he believes members of Congress are playing dumb and covering the matter up.,Loaded_Language,are playing dumb,769427494,,,,,,,,,,,,,,,
A Democratic mayor’s warning to illegal immigrants of an incoming ICE raid in northern California may have led to a number of illegal immigrants with violent and sex-related convictions evading capture and deportation.,"Whataboutism,Straw_Men,Red_Herring",Democratic,736757214,,,,,,,,,,,,,,,
A Jewish student at McGill University has been kicked off the student government board for having “conflicts of interest” due to his pro-Israel activism.,Loaded_Language,kicked off,701553469,,,,,,,,,,,,,,,
"A London borough – which has the highest percentage of Muslims in the UK – has voted to ban U.S. President Donald J. Trump for the area, declaring him a “bigot”.","Name_Calling,Labeling",bigot,724791253,,,,,,,,,,,,,,,
"A Muslim terrorist stabbed four people at a train station near Munich while screaming, “Allahu Akbar”.",Repetition,“Allahu Akbar”,774007496,,,,,,,,,,,,,,,
A Sister Speaks: ‘Cor Orans is the Death-Knell of Carmel’,Loaded_Language,Death-Knell,759478604,,,,,,,,,,,,,,,
A TIE .,Loaded_Language,A TIE,761969038,,,,,,,,,,,,,,,
