Sentence,Label,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"The late British diplomat Sir John Glubb wrote a book called ""The Fate of Empires and Search For Survival."" Glubb noted the average age of empires since the time of ancient Assyria (859-612 B.C ) is 250 years .",testimony,,,,,,,,,,,,,,,
Only the Mameluke Empire in Egypt and the Levant (1250-1517) made it as far as 267 years .,testimony,,,,,,,,,,,,,,,
America is 238 years old and is exhibiting signs of decline .,assumption,,,,,,,,,,,,,,,
"All empires begin, writes Glubb, with the age of pioneers, followed by ages of conquest, commerce, affluence, intellect and decadence .",testimony,,,,,,,,,,,,,,,
"America appears to have reached the age of decadence , which Glubb defines as marked by ""defensiveness, pessimism, materialism, frivolity, an influx of foreigners, the welfare state, (and) a weakening of religion.""  Decadence , he writes , ""is due to: Too long a period of wealth and power, selfishness, love of money (and) the loss of a sense of duty.""  Do these not define America at the end of 2014? Glubb says the 250-year average of empires has not varied in 3,000 years , but we don' t learn from history because ""our studies are brief and prejudiced."" He means they are mostly about one's own country .",assumption,,,,,,,,,,,,,,,
It will take more than a new Congress in 2015 and a new president in 2017 to save us from the fate of other empires .,assumption,,,,,,,,,,,,,,,
"It will take a revival of the American spirit , and that can only come through changed attitudes towards our institutions and each other .",assumption,,,,,,,,,,,,,,,
"It will take a revival of the American spirit , and that can only come through changed attitudes towards our institutions and each other .",assumption,,,,,,,,,,,,,,,
"A British author, residing in the United States for the past 30 years, created a small firestorm earlier this week with his candid observations that modern - day Americans have been duped by the government into accepting a European - style march toward socialism because we fail to appreciate the rich legacy of personal liberty that is everyone's birthright and is expressly articulated in the Declaration of Independence and guaranteed by the U.S  Constitution .",testimony,,,,,,,,,,,,,,,
"Os Guinness, the author of more than a dozen books defending traditional Judeo-Christian values and Jeffersonian personal liberty, argued that we should embrace individual liberty and personal dignity and reject the ""no givens, no rules, no limits"" government we now have .",testimony,,,,,,,,,,,,,,,
"He went on to opine that the government today is not the constitutionally restrained protector of personal freedoms the Framers left us , but rather has become the wealth-distributing protector of collective interests the Founding Fathers never could have imagined .",testimony,,,,,,,,,,,,,,,
Yet the problem is a deep one .,assumption,,,,,,,,,,,,,,,
"The Framers believed in the presumption of liberty , which declares that we are free to make personal choices , and the government cannot interfere with our liberties unless we violate the rights of others .",common-ground,,,,,,,,,,,,,,,
"Stated differently , the federal government cannot interfere with our personal choices by writing any law it wants ; it can only regulate behavior or spend money when the Constitution authorizes it to do so .",assumption,,,,,,,,,,,,,,,
"But for the past 100 years, the federal government has rejected the Madisonian concept that it is limited to the 16 discrete powers the Constitution delegates to it , and has claimed its powers are unlimited, subject only to the express prohibitions in the Constitution .",assumption,,,,,,,,,,,,,,,
"Even those prohibitions can be gotten around since government lawyers have persuaded federal courts to rule that Congress can spend tax dollars or borrowed money on any projects it wishes , whether authorized by the Constitution or not .",assumption,,,,,,,,,,,,,,,
"The courts even have authorized Congress to use federal tax dollars to bribe the states into enacting laws that Congress is powerless to enact , and Congress has done so .",assumption,,,,,,,,,,,,,,,
"The Declaration of Independence defines our personal liberties as inalienable aspects of our humanity , and the Constitution prohibits the government from interfering with those liberties -- like thought, speech, press, association, worship, self-defense, travel, privacy, due process, use of money and private property , to name a few .",common-ground,,,,,,,,,,,,,,,
"The teaching of these founding documents is that our liberties are natural -- their source is not the government -- and they are personal, not collective .",common-ground,,,,,,,,,,,,,,,
We don't need a government permission slip to exercise them ; we don't need to belong to a group to enjoy them ; they cannot be taken away by a congressional vote or a presidential signature .,common-ground,,,,,,,,,,,,,,,
"Even though everyone who works for the government takes an oath to uphold the Declaration and the Constitution , very few are consistent with what they have sworn to do .",assumption,,,,,,,,,,,,,,,
"We know that because on the transcendental issues of our day -- life, liberty, war and debt -- the leadership of both political parties and the behavior of all modern presidents have revealed a steadfast willingness to write any law and regulate any behavior or permit any evil , whether authorized by the Constitution or not .",continued,,,,,,,,,,,,,,,
Take life .,other,,,,,,,,,,,,,,,
Abortion is the most deadly force in America today .,assumption,,,,,,,,,,,,,,,
"Abortions lawfully kill a baby a minute  -- that's 1.1 million babies a year and 45,000,000 killed since the Supreme Court issued its Roe v  Wade decision in 1973 .",assumption,,,,,,,,,,,,,,,
"A simple one-line statute  -- ""The fetus in the womb is a legal person"" -- could have been enacted by a simple majority vote in Congress and signed into law by any of our so-called pro-life presidents , thus stopping the slaughter .",assumption,,,,,,,,,,,,,,,
It never happened .,common-ground,,,,,,,,,,,,,,,
Take liberty .,other,,,,,,,,,,,,,,,
"Both parties support the Patriot Act and the secret FISA apparatus , which together invade privacy , infringe upon free speech, permit federal agents to write their own search warrants and allow domestic spying on all of us all the time .",assumption,,,,,,,,,,,,,,,
"This demonstrates that our political leaders do not believe that our rights are inalienable, but can be interfered with and regulated by them .",assumption,,,,,,,,,,,,,,,
They have written laws that literally permit federal agents to do the very acts the Constitution was written to prohibit .,assumption,,,,,,,,,,,,,,,
Take the lethal combination of war and debt .,other,,,,,,,,,,,,,,,
Both parties support perpetual war and perpetual debt .,assumption,,,,,,,,,,,,,,,
"The leadership of both parties has permitted every modern president to kill whomever he pleases in foreign countries without lawful declarations of war and to do so by going into a $17 trillion hole of debt , with no end in sight .",assumption,,,,,,,,,,,,,,,
"Today, 20 cents of every tax dollar collected goes to interest on pre-existing government debt .",assumption,,,,,,,,,,,,,,,
Today's taxpayers are still paying interest on the $30 billion Woodrow Wilson borrowed to finance World War I in 1917 .,assumption,,,,,,,,,,,,,,,
The British author is correct .,assumption,,,,,,,,,,,,,,,
"Unless we have a radical change in the direction of government -- its size, cost, focus, intrusiveness and rejection of first principles -- and unless we elect people to the government who truly believe the Declaration and the Constitution mean what they say , we will continue our march toward the federal destruction of the presumption of liberty .",assumption,,,,,,,,,,,,,,,
"It is a slow march, but a steady one .",assumption,,,,,,,,,,,,,,,
"It is a slow march, but a steady one .",assumption,,,,,,,,,,,,,,,
"""The bear never asks permission,"" remarked Vladmir Putin on a TV promo for his annual news conference .",testimony,,,,,,,,,,,,,,,
"Yes, we know .",other,,,,,,,,,,,,,,,
The Russians haven't stopped their aggressive posturing after annexing Crimea--not by a long-shot .,assumption,,,,,,,,,,,,,,,
In early December there was another near miss between a Russian military jet with its transponders turned off and a commercial airliner just south of Sweden .,anecdote,,,,,,,,,,,,,,,
"This adds to the list of over 40 serious incidents involving Russia and NATO countries in the last 8 months , as detailed in a report by a British think tank called the European Leadership Network .",testimony,,,,,,,,,,,,,,,
"President Obama has so far remained unwilling to do little more than levy pin- prick sanctions against specific Russian individuals , but that doesn't mean Congress is sitting still .",assumption,,,,,,,,,,,,,,,
Republicans have continued to show a willingness to get tough with Russia to actually deter it .,assumption,,,,,,,,,,,,,,,
"And now the New Year ushers in a Republican majority in the Senate, and a freshly motivated Republican House .",anecdote,,,,,,,,,,,,,,,
"Several Senators have argued the U.S  should impose much tougher sanctions on whole sectors of the Russian economy, provide significant arms to Ukraine and NATO allies in the region, and should go back to an emphasis on building out missile defense in Europe .",anecdote,,,,,,,,,,,,,,,
Moscow has long opposed U.S  missile defense in countries that were once forcibly a part of the Soviet Union .,common-ground,,,,,,,,,,,,,,,
Recall the now infamous abandonment by President Obama of the Bush plan to deploy 10 large interceptors in Poland in an effort to appease Russia .,anecdote,,,,,,,,,,,,,,,
"Those same interceptors might not be deployed , but the current and more modest plans to build up defenses , could be adapted .",assumption,,,,,,,,,,,,,,,
"Congressman Mike Tuner, R-Ohio, said in a statement released on December 18, ""Given Russia's increased aggression toward the West and Iran\'s stubbornness toward its nuclear program , we must ensure a robust BMD capability in Europe .",testimony,,,,,,,,,,,,,,,
"Russia is clearly now a threat to the West.""  For years the U.S  has insisted that homeland missile defense systems will not be targeted at Russian assets in order to maintain a ""strategic balance"" between the former Cold War foes .",testimony,,,,,,,,,,,,,,,
This remains the position of the U.S as laid out in a 2010 policy document called the Ballistic Missile Defense Review (BMDR) .,testimony,,,,,,,,,,,,,,,
"It is not, however, codified in law .",common-ground,,,,,,,,,,,,,,,
"And since the U.S  began deploying more missile defense systems abroad to protect allies and U.S  troops from Iranian missiles , officials have made the case that they were not defending against the shorter range Russian systems .",anecdote,,,,,,,,,,,,,,,
"But this may change ; and if it does , it will be the fault of the Russian government, and to the credit of American officials who are paying close attention .",assumption,,,,,,,,,,,,,,,
"Unconvinced that the U.S  is not threatening its military , Russia has moved forward with an aggressive plan to improve in quality and quantity its offensive missile forces and continues to threaten its neighbors (U.S  allies) with them , even threatening to use--preemptively--nuclear weapons .",assumption,,,,,,,,,,,,,,,
The revelations that Russia has been in violation of the INF Treaty has also ushered in some bipartisan agreement that perhaps the U.S  should rethink its position regarding missile defense and Russia .,assumption,,,,,,,,,,,,,,,
"Democratic Senator Joe Donnelly, R-Ind , raised the issue of speeding up and strengthening U.S  missile defense in Europe in the context of Russian aggression during an April 2, 2014 Senate hearing .",anecdote,,,,,,,,,,,,,,,
In the recent omnibus bill Congress approved $20 million to do just that  -- speed up the deployment of the European Phased Adaptive Approach -- a missile defense plan to deploy missile defense assets in Europe to protect against the regional Iranian threats .,anecdote,,,,,,,,,,,,,,,
"Between the failure of the infamous ""Iran deal"" to curb Iranian missile development and Russia's continued aggression in the region , this makes perfect sense and is good policy .",assumption,,,,,,,,,,,,,,,
"In a recent trip to Eastern Europe, the Chairman of the House Strategic Forces Subcommittee, Congressman Mike Rogers, R-Ala , stated that the interceptors in Europe could be made to defend against some Russian threats .",testimony,,,,,,,,,,,,,,,
"As one can imagine , this didn't thrill the Russians--but short of American decline , what does?  Russian Foreign Ministry spokesman Alexander Lukashevich said in a statement , ""Hence, the U.S  lawmaker confirmed the justifiability of concerns having been aired by Moscow for a long time that the missile shield being developed by the U.S  is intended solely for the purposes officially declared by Washington.""  If the U.S  does configure systems to protect its allies against Russian missiles , it is because it will be because Uncle Sam finally stopped ""asking permission"" and decided to get serious about deterring ""the bear.""",testimony,,,,,,,,,,,,,,,
The holidays are my favorite time of year .,anecdote,,,,,,,,,,,,,,,
"As my home fills with the joy and laughter of my six children and four grandchildren , I'm reminded of how lucky I am to have the most wonderful job in the world - being a mother and grandmother .",assumption,,,,,,,,,,,,,,,
"It's the single most important thing I've done with my life , and I know just how important the job is because I am constantly reminded of what an influence my own mother was in my life .",anecdote,,,,,,,,,,,,,,,
My mother Mieke survived three and a half horrific years in a Japanese concentration camp during World War II .,anecdote,,,,,,,,,,,,,,,
"During that time, she focused all of her energy on caring for fellow prisoners who were far worse off than she was .",assumption,,,,,,,,,,,,,,,
"When I think of my mother , I think of the selfless love she had not only for my family, but for complete strangers as well .",anecdote,,,,,,,,,,,,,,,
She's with me every day as I challenge myself to live my life in the same way .,anecdote,,,,,,,,,,,,,,,
"I am so blessed to have a wonderful family and career that I love , and I see my mother in all of those things .",anecdote,,,,,,,,,,,,,,,
I see her every day in the faces of my children and grandchildren .,anecdote,,,,,,,,,,,,,,,
I am reminded of her each time a single white feather floats through the air - whether on good days or bad days - and I have to smile knowing that she is always with me .,anecdote,,,,,,,,,,,,,,,
"Her love is reflected in my work as an actor, artist and philanthropist .",assumption,,,,,,,,,,,,,,,
"Without her example, I wouldn't be who I am today and while I miss her endlessly during the holidays , I know that if I live my life the way she did , I will make the same impact on my family and that is truly a gift .",assumption,,,,,,,,,,,,,,,
"Without her example, I wouldn't be who I am today and while I miss her endlessly during the holidays , I know that if I live my life the way she did , I will make the same impact on my family and that is truly a gift .",assumption,,,,,,,,,,,,,,,
Defaulting on sovereign debt is never a good strategy .,assumption,,,,,,,,,,,,,,,
Just ask Argentina .,assumption,,,,,,,,,,,,,,,
The South American nation has defaulted 10 times- -most recently this summer--on its international obligations and has experienced sharp economic decline as a result .,anecdote,,,,,,,,,,,,,,,
"In the early 1900s, Argentina ranked among the world's top 10 in per capita income .",statistics,,,,,,,,,,,,,,,
"By 2012, it had fallen to 55th .",statistics,,,,,,,,,,,,,,,
"Rather than learn anything from this unhappy history , however ,  Argentina is opting for stubbornness, bullying and intimidation of its debt-holders, all with a helping hand from the United Nations , as it refuses to pay back bondholders for billions of dollars .",assumption,,,,,,,,,,,,,,,
"What Argentina wants is to establish ""a multilateral legal framework for sovereign debt restructuring processes."" Such a multilateral endeavor -- established, run, and funded by governments -- will no doubt be more sympathetic to financial deadbeats like Argentina than a U.S  court that has to give equal standing to the private sector .",assumption,,,,,,,,,,,,,,,
"It's also the kind of thing that the United Nations loves to endorse : high- minded and technical sounding, larded with ostensible respect for international legal processes, and standing above any single national interest--with absolutely no chance whatsoever that it will be any of these things .",assumption,,,,,,,,,,,,,,,
"Sure enough, Argentina has successfully rallied a majority of U.N  member nations to join in denouncing Argentina's debt holders and endorsing its multilateral debt restructuring framework .",assumption,,,,,,,,,,,,,,,
"This September the U.N  General Assembly voted 124-11, with 41 abstentions , to support Argentina's position .",anecdote,,,,,,,,,,,,,,,
"The U.N  Human Rights Council soon followed suit , adopting a similar resolution 33-5 , with 9 abstentions .",anecdote,,,,,,,,,,,,,,,
"The notorious Council , which includes some of the world's worst human rights violators in its membership , got involved because it says excessive debt is an impediment to full realization of ""social, economic and cultural"" rights .",testimony,,,,,,,,,,,,,,,
"It is certainly true that debt defaults take a huge toll because the defaulting country loses access to international financial markets and foreign exchange , limiting its ability to finance expenditures and obligations and pay for imported goods .",assumption,,,,,,,,,,,,,,,
The end result is typically sharp recession and rising unemployment .,assumption,,,,,,,,,,,,,,,
"But Argentina's latest default is is different from earlier defaults , which were driven by economic crises .",assumption,,,,,,,,,,,,,,,
"The 2014 crisis, though rooted in a previous $100 billion default that occurred 13 years ago , is a deliberate--and unnecessary--choice of the Argentine government .",assumption,,,,,,,,,,,,,,,
"In 2005 and 2010, Argentina offered to exchange bonds that it had defaulted on at about 35 cents on the dollar .",anecdote,,,,,,,,,,,,,,,
"Eventually ,  about 93 percent of debt holders agreed to the swap .",anecdote,,,,,,,,,,,,,,,
"Some debt holders, however, held out and went to U.S  court arguing that Argentina had to pay them the full value of their bonds .",anecdote,,,,,,,,,,,,,,,
"In 2012, a U.S  judge ruled in their favor and further ruled that any financial institution that assisted in partial payment would be in contempt .",anecdote,,,,,,,,,,,,,,,
"Following the court's ruling, Argentina could have complied or at least paid interest on the bonds while trying to renegotiate a more favorable debt arrangement .",assumption,,,,,,,,,,,,,,,
"Instead ,  this summer it decided to pay nothing, abandon negotiations, and rely on demagoguery to press its case in the court of public opinion .",assumption,,,,,,,,,,,,,,,
"Argentina has denounced its debt holders--shrilly and often--as ""vulture"" funds .",assumption,,,,,,,,,,,,,,,
"Of course ,  it never mentions that it was Argentina that voluntarily issued the debt in the first place, presumably in good faith .",assumption,,,,,,,,,,,,,,,
Nor does it acknowledge that the government's own reckless economic policies precipitated the debt crisis in the first place .,assumption,,,,,,,,,,,,,,,
"If you think that sort of dishonest name-calling would fall on deaf ears , you don't know the United Nations .",assumption,,,,,,,,,,,,,,,
Argentina's success in rallying a majority of U.N  member nations to join in denouncing the debt holders results from an underlying fact .,assumption,,,,,,,,,,,,,,,
"At the U.N  the agenda of many developing nations consists of blaming others for the consequences their poor economic choices and demanding that the developed nations provide more aid, less accountability for money already given, and no right to object when feckless countries misbehave .",assumption,,,,,,,,,,,,,,,
The U.N  resolutions in support of Argentina do not have the force of law .,common-ground,,,,,,,,,,,,,,,
"But the intended goal is clearly to establish a ""a multilateral legal framework for sovereign debt restructuring processes"" via a treaty or international convention .",assumption,,,,,,,,,,,,,,,
"Historically, U.N  resolutions are the first step in this process .",assumption,,,,,,,,,,,,,,,
"That is clearly the hope of Hector Timerman, Argentina's Minister for Foreign Affairs , who made clear why his country had pressed so hard to get the resolutions .",assumption,,,,,,,,,,,,,,,
"""Vulture funds will not stop until we put the brake on...,"" he declared .",testimony,,,,,,,,,,,,,,,
"""The resolution not only condemns vulture's activities, but also urges the UN to investigate their behavior and analyze their effect over sovereign economies.""  In other words ,  he is arguing : Let's point the finger at someone else to avoid responsibility for our own economic failings .",assumption,,,,,,,,,,,,,,,
"As the U.S  made clear in its statement opposing the effort , if the terms of debt obligations are subject to review, renegotiation, or negation by a government as it feels like it , the cost of lending to everyone will rise to meet the perceived risk .",testimony,,,,,,,,,,,,,,,
Indeed many countries may find it impossible to access international capital markets at all .,assumption,,,,,,,,,,,,,,,
"And many of the countries hardest hit will be a lot poorer than Argentina, a middle income country that has never learned to live within its means .",assumption,,,,,,,,,,,,,,,
U.N.-endorsed demagoguery is no way to resolve a problem of habitual economic and fiscal incompetence .,assumption,,,,,,,,,,,,,,,
"Unfortunately, however, it may be an effective means for seducing other countries to join Argentina in the misery of being a financial pariah .",assumption,,,,,,,,,,,,,,,
"Unfortunately, however, it may be an effective means for seducing other countries to join Argentina in the misery of being a financial pariah .",assumption,,,,,,,,,,,,,,,
Kelvin Cochran was five-years-old when he realized that he wanted to be a firefighter .,anecdote,,,,,,,,,,,,,,,
"""My family was very, very poor,"" Cochran told me .",testimony,,,,,,,,,,,,,,,
"""We were living in a shotgun house in an alley - three big brothers, two little sisters.""  One Sunday afternoon the Cochran children heard a fire truck stop across from their neighbor's home .",testimony,,,,,,,,,,,,,,,
Miss Maddie's house was one fire .,anecdote,,,,,,,,,,,,,,,
"""That's the day that God convicted me in my heart that I wanted to be a firefighter when I grew up,"" Cochran said .",testimony,,,,,,,,,,,,,,,
"""All I thought about growing up in Shreveport was not being poor and being a firefighter.""  And God granted Kelvin Cochran the desires of his heart .",assumption,,,,,,,,,,,,,,,
The little boy in the shotgun shack grew up to become the fire chief of Shreveport .,anecdote,,,,,,,,,,,,,,,
He was named the Atlanta fire chief in 2008 - a position he served until 2009 when was called to serve in the Obama Administration as a fire administrator .,anecdote,,,,,,,,,,,,,,,
In 2010 he returned to Atlanta where he was unanimously confirmed to once again be the city's fire chief .,anecdote,,,,,,,,,,,,,,,
But now Chief Cochran's storied career is up in smoke - all because of a book he wrote for a men's Bible study group at his Baptist church .,assumption,,,,,,,,,,,,,,,
CLICK HERE TO FOLLOW TODD ON FACEBOOK FOR CONSERVATIVE CONVERSATION!  Atlanta Mayor Kasim Reed announced Tuesday that Cochran had been fired .,par-sep,,,,,,,,,,,,,,,
The announcement came on the same day Cochran was supposed to return to work following a 30-day suspension .,anecdote,,,,,,,,,,,,,,,
"""The LGBT members of our community have a right to be able to express their views and convictions about sexuality and deserve to be respected for their position without hate or discrimination,"" Cochran told me in an exclusive interview .",testimony,,,,,,,,,,,,,,,
"""But Christians also have a right to express our belief regarding our faith and be respected for our position without hate and without discrimination . In the United States, no one should be vilified, hated or discriminated against for expressing their beliefs.""  Cochran had been suspended in November because of a passage he wrote about homosexuality in a book titled , ""Who Told You That You Were Naked?"" The book's theme is about biblical morality .",anecdote,,,,,,,,,,,,,,,
"""This is about judgment,"" Mayor Reed said during a Tuesday press conference .",testimony,,,,,,,,,,,,,,,
"""This is not about religious freedom . This is not about free speech . Judgment is the basis of the problem.""  Last November the mayor posted a public condemnation of the fire chief on his official Facebook page .",anecdote,,,,,,,,,,,,,,,
"""I profoundly disagree with and am deeply disturbed by the sentiments expressed in the paperback regarding the LGBT community,"" the mayor wrote .",testimony,,,,,,,,,,,,,,,
"""I will not tolerate discrimination of any kind within my administration.""  The mayor went on to inform the public that Cochran had been suspended without pay and was ordered to complete a sensitivity training class .",testimony,,,,,,,,,,,,,,,
"""I want to be clear that the material in Chief Cochran's book is not representative of my personal beliefs, and is inconsistent with the Administration's work to make Atlanta a more welcoming city for all of her citizens -- regardless of their sexual orientation, gender, race and religious beliefs,"" Mayor Reed wrote .",testimony,,,,,,,,,,,,,,,
"So what in the world did Cochran write  According to the GA Voice, a publication that covers the LGBT community , there were two items that caused concern :.  ""Uncleanness  - whatever is opposite of purity ; including sodomy, homosexuality, lesbianism, pederasty, bestiality, all other forms of sexual perversion.""  ""Naked men refuse to give in , so they pursue sexual fulfillment through multiple partners, with the opposite sex, the same sex, and sex outside of marriage and many other vile, vulgar and inappropriate ways which defile their body - temple and dishonor God.""  Cochran said he referenced homosexuality on less than a half a page in the 160-page book .",testimony,,,,,,,,,,,,,,,
"""I did not single out homosexuality,"" he said .",testimony,,,,,,,,,,,,,,,
"' . I simply spoke to sex being created by God for pro-creation and He intended it to be between a man and a woman in holy matrimony - and that any other sex outside of that is sin.""  Cochran told me that someone within the department obtained a copy of the book and took it to openly-gay city council member Alex Wan .",testimony,,,,,,,,,,,,,,,
"Wan released a statement supporting Cochran's termination and said it ""sends a strong message to employees about how much we value diversity and how we adhere to a non-discriminatory environment.""  The book caused a firestorm within Atlanta's LGBT community and there were many calls for him to be fired - a decision the mayor finally agreed to .",anecdote,,,,,,,,,,,,,,,
"""I guess they got what they asked for,"" Cochran said .",testimony,,,,,,,,,,,,,,,
"Georgia Equality Executive Director Jeff Graham told GA Voice Cochran's ""anti- gay"" views could result in a hostile work environment .",testimony,,,,,,,,,,,,,,,
"""This is not about his religious views but his about his ability to lead a diverse work force,"" he said .",testimony,,,,,,,,,,,,,,,
"""It's unfortunate that this had to happen . I feel the mayor has done the right thing to ensure all employees are treated fairly.""  The allegations against Cochran amount to a he-said, he-said between the fire chief and the mayor .",assumption,,,,,,,,,,,,,,,
Reed said that he had no knowledge that Cochran was writing a book .,testimony,,,,,,,,,,,,,,,
"However ,  Cochran said the director of Atlanta's ethics office had not only given him permission to write the book, but to also mention in his biography that he was the city's fire chief .",testimony,,,,,,,,,,,,,,,
"Cochran said he gave a copy of the book to Mayor Reed in January, 2014 and the mayor told him he planned on reading it during an upcoming trip .",testimony,,,,,,,,,,,,,,,
Cochran also admitted that he gave copies of the book to several members of the fire department - individuals with whom he had personal relationships .,testimony,,,,,,,,,,,,,,,
The mayor also took issue with Cochran speaking publicly about his suspension .,assumption,,,,,,,,,,,,,,,
"However ,  Cochran said he honored the mayor's guidance and did not speak to the media .",testimony,,,,,,,,,,,,,,,
"He did, however , share his testimony in several churches .",anecdote,,,,,,,,,,,,,,,
"""I did not dishonor him in the process,"" Cochran told me .",testimony,,,,,,,,,,,,,,,
Cochran wants to make clear that he does not hate anyone .,assumption,,,,,,,,,,,,,,,
"""The essence of the Christian faith is a love without condition, sir,"" he told me .",testimony,,,,,,,,,,,,,,,
"""I have demonstrated that love in the fire service for 34 years . There' s not any person of any people group that has interacted with me for any measure of time that can say I have hate or disregard or discrimination in my heart for any people group.""  Cochran's plight has drawn condemnation from a number of religious groups across Georgia including the influential Georgia Baptist Convention .",assumption,,,,,,,,,,,,,,,
"""This is appalling,"" said Robert White, president of the Georgia Baptist Convention .",testimony,,,,,,,,,,,,,,,
"""This has everything to do with his religious beliefs.""  White told me he believes the mayor succumbed to pressure from the city's LGBT community .",testimony,,,,,,,,,,,,,,,
"""It's a frightening day in the United States when a person cannot express their faith without fears of persecution following,"" he told me .",testimony,,,,,,,,,,,,,,,
"""It's persecution when a godly fire chief loses his job over expressing his Christian faith.""  And the fire chief's firing could spark public protests and demonstrations from the state's Christian community .",assumption,,,,,,,,,,,,,,,
"""We're past the point of taking a public stand,"" White told me .",testimony,,,,,,,,,,,,,,,
"""Christians must stand up for their rights.""  Cochran told me he is considering his legal options - but one thing is certain .",testimony,,,,,,,,,,,,,,,
He has no desire to get his old job back .,assumption,,,,,,,,,,,,,,,
"""I believe God has greater things for me,"" the father and grandfather said .",testimony,,,,,,,,,,,,,,,
"""I love the fire services . It's a childhood dream come true.""  And don't go feeling sorry for Chief Cochran .",no-unit,,,,,,,,,,,,,,,
"""I'm not discouraged and I'm not downtrodden,"" he said .",testimony,,,,,,,,,,,,,,,
"""This is a God thing and He's going to do great things and He will vindicate me publicly.""",testimony,,,,,,,,,,,,,,,
New Year's resolutions often lose their power so quickly and completely that they have become cliche .,common-ground,,,,,,,,,,,,,,,
"But there are real , easily achieved ways to positively impact your life beginning January 1 .",assumption,,,,,,,,,,,,,,,
I've assembled a cheat sheet of 15 .,anecdote,,,,,,,,,,,,,,,
"They aren't in any particular order , so you can pick any one to start with .",assumption,,,,,,,,,,,,,,,
"If you complete just five , you'll notice a demonstrable improvement in your existence .",assumption,,,,,,,,,,,,,,,
"But if you get through all 15 , you could remake your life .",assumption,,,,,,,,,,,,,,,
1 \. Try to recall one dream you had as a kid -- whether it was being a poet or a rock drummer or a multimillionaire stock trader -- and take just a single step in that direction .,assumption,,,,,,,,,,,,,,,
"So often , the ideas we had as children were good ones , and we abandoned them out of fear .",assumption,,,,,,,,,,,,,,,
"The step in the direction of your childhood dream can be very modest  -- signing up for a symposium on poetry, scheduling a single drum lesson, buying a DVD on stock trading .",assumption,,,,,,,,,,,,,,,
Frozen dreams have a way of thawing out rapidly when you warm them just a tiny bit .,assumption,,,,,,,,,,,,,,,
"2 \. Think of your life story , going all the way back to infancy, as an autobiographical book that you can hold in your hands .",assumption,,,,,,,,,,,,,,,
"Now ,  imagine which page or paragraph you are tempted to tear out and remove from the story .",assumption,,,,,,,,,,,,,,,
That page or paragraph might be the one that makes you feel profoundly sad or powerless or guilty or ashamed .,assumption,,,,,,,,,,,,,,,
"Next ,  share it with someone who knows you well but has never heard about that event or phase in your life .",assumption,,,,,,,,,,,,,,,
Being willing to disclose the events in life we want to turn a blind eye to takes away the power those events have over us .,assumption,,,,,,,,,,,,,,,
3 \. Give a meaningful gift to a friend of yours on a random day -- not his birthday or her anniversary or Christmas .,assumption,,,,,,,,,,,,,,,
"Giving gifts on those days is fine , but that isn't the same as an unexpected, unscheduled gift .",assumption,,,,,,,,,,,,,,,
Those are the ones that feel riskier to give and have more power to bond you to others who receive them .,assumption,,,,,,,,,,,,,,,
"And that's because they're real and independent expressions of friendship, affection, admiration or love .",assumption,,,,,,,,,,,,,,,
